station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
BUENOS_AIRES,02/ENE/2022,21Hs,19.2,101,29,1.4
BUENOS_AIRES,03/ENE/2022,00Hs,19.1,161,13,0.4
BUENOS_AIRES,03/ENE/2022,03Hs,17.3,163,8,0.0
BUENOS_AIRES,03/ENE/2022,06Hs,16.8,164,10,0.0
BUENOS_AIRES,03/ENE/2022,09Hs,25.0,81,8,0.0
BUENOS_AIRES,03/ENE/2022,12Hs,34.0,204,10,0.0
BUENOS_AIRES,03/ENE/2022,15Hs,38.6,113,9,0.0
BUENOS_AIRES,03/ENE/2022,18Hs,37.7,65,18,0.0
BUENOS_AIRES,03/ENE/2022,21Hs,27.6,84,19,0.0
BUENOS_AIRES,04/ENE/2022,00Hs,25.4,71,21,0.0
BUENOS_AIRES,04/ENE/2022,03Hs,21.4,227,13,0.7
BUENOS_AIRES,04/ENE/2022,06Hs,20.8,169,11,0.7
BUENOS_AIRES,04/ENE/2022,09Hs,23.1,229,10,0.0
BUENOS_AIRES,04/ENE/2022,12Hs,32.7,206,12,0.0
BUENOS_AIRES,04/ENE/2022,15Hs,37.9,223,17,0.0
BUENOS_AIRES,04/ENE/2022,18Hs,36.6,200,33,0.0
BUENOS_AIRES,04/ENE/2022,21Hs,21.8,127,40,0.0
BUENOS_AIRES,05/ENE/2022,00Hs,18.0,127,29,0.0
BUENOS_AIRES,05/ENE/2022,03Hs,16.1,138,19,0.0
BUENOS_AIRES,05/ENE/2022,06Hs,13.0,148,14,0.0
BUENOS_AIRES,05/ENE/2022,09Hs,20.3,136,19,0.0
BUENOS_AIRES,05/ENE/2022,12Hs,27.1,137,17,0.0
BUENOS_AIRES,05/ENE/2022,15Hs,30.6,136,17,0.0
BUENOS_AIRES,05/ENE/2022,18Hs,26.5,71,29,0.0
BUENOS_AIRES,05/ENE/2022,21Hs,20.3,84,25,0.0
CATAMARCA_AERO,01/ENE/2022,00Hs,30.3,34,21,0.0
CATAMARCA_AERO,01/ENE/2022,03Hs,27.8,344,8,0.0
CATAMARCA_AERO,01/ENE/2022,06Hs,25.5,14,10,0.0
CATAMARCA_AERO,01/ENE/2022,09Hs,31.1,186,9,0.0
CATAMARCA_AERO,01/ENE/2022,12Hs,35.5,220,24,0.0
CATAMARCA_AERO,01/ENE/2022,15Hs,38.7,189,19,0.0
CATAMARCA_AERO,01/ENE/2022,18Hs,39.0,181,9,0.0
CATAMARCA_AERO,01/ENE/2022,21Hs,32.4,262,8,0.0
CATAMARCA_AERO,02/ENE/2022,00Hs,27.3,341,8,0.3
CATAMARCA_AERO,02/ENE/2022,03Hs,26.2,234,19,0.0
CATAMARCA_AERO,02/ENE/2022,06Hs,22.5,215,8,0.0
CATAMARCA_AERO,02/ENE/2022,09Hs,26.0,212,6,0.0
CATAMARCA_AERO,02/ENE/2022,12Hs,32.5,175,11,0.0
CATAMARCA_AERO,02/ENE/2022,15Hs,36.9,159,13,0.0
CATAMARCA_AERO,02/ENE/2022,18Hs,38.7,147,9,0.0
CATAMARCA_AERO,02/ENE/2022,21Hs,29.3,331,4,0.6
CATAMARCA_AERO,03/ENE/2022,00Hs,29.0,16,11,0.3
CATAMARCA_AERO,03/ENE/2022,03Hs,27.0,43,9,0.3
CATAMARCA_AERO,03/ENE/2022,06Hs,24.9,32,16,1.1
CATAMARCA_AERO,03/ENE/2022,09Hs,28.5,135,0,0.7
CATAMARCA_AERO,03/ENE/2022,12Hs,34.4,149,9,0.0
CATAMARCA_AERO,03/ENE/2022,15Hs,39.1,128,18,0.0
CATAMARCA_AERO,03/ENE/2022,18Hs,37.3,81,29,0.0
CATAMARCA_AERO,03/ENE/2022,21Hs,32.3,45,27,0.0
CATAMARCA_AERO,04/ENE/2022,00Hs,29.8,54,24,0.0
CATAMARCA_AERO,04/ENE/2022,03Hs,28.1,73,9,0.0
CATAMARCA_AERO,04/ENE/2022,06Hs,22.7,254,27,5.1
CATAMARCA_AERO,04/ENE/2022,09Hs,25.3,200,6,1.5
CATAMARCA_AERO,04/ENE/2022,12Hs,30.2,108,5,0.8
CATAMARCA_AERO,04/ENE/2022,15Hs,34.4,103,9,0.4
CATAMARCA_AERO,04/ENE/2022,18Hs,34.7,48,29,0.0
CATAMARCA_AERO,04/ENE/2022,21Hs,28.9,64,17,0.0
